,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,24-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,21.8,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,,38,0,23/08/2016,CLOROPIRAMINA 20MG AMP.,,,, $-   
,,5.5,0,23/08/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,, $-   
,,4.83,0,23/08/2016,KETOROLACO 30MG AMP.,,,, $-   
,,30.5,0,23/08/2016,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $-   
,,1.89,0,23/08/2016,NAPROXENO GI TABS. DE 500MG C/10,,,, $-   
,,0.67,0,23/08/2016,OMEPRAZOL CAPSULA 20 MG C/14,,,, $-   
,,25,0,23/08/2016,CLORANFENICOL UNGUENTO TUBO 5 MG,,,, $-   
,,3.03,0,23/08/2016,GABAPENTINA 300MG TAB,,,, $-   
,,29,0,23/08/2016,BETAMETASONA AMP,,,, $-   
,,11.65,0,23/08/2016,CLORURO DE SODIO 0.9% 250ML,,,, $-   
,,14.8,0,23/08/2016,CLORURO DE SODIO 0.9% 500ML,,,, $-   
,,333.5,0,23/08/2016,NITROFURAL POMADA TARRO,,,, $-   
,,2.3,0,23/08/2016,ASPIRINA PROTEC TABLETAS LIB. RETARDADA 100 MG C/28,,,, $-   
,,18,0,23/08/2016,AGUA DE IRRIGACION 1LT,,,, $-   
,,3,0,23/08/2016,AGUA INYECTABLE 10CC,,,, $-   
,,11.65,0,23/08/2016,GLUCOSADO 5% 250ML,,,, $-   
,,2.95,16,23/08/2016,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,, $-   
,,2.95,16,23/08/2016,GUANTES CAUCHO NO. 8 USO CIRUGIA,,,, $-   
,,14.8,0,23/08/2016,HARTMAN 500ML,,,, $-   
,,6,16,23/08/2016,JELCO NO. 16,,,, $-   
,,15,16,23/08/2016,SUTURA NYLON 2,,,, $-   
,,15,16,23/08/2016,SUTURA NYLON 3,,,, $-   
,,16,16,23/08/2016,SUTURA NYLON 4,,,, $-   
,,17,16,23/08/2016,SUTURA NYLON 5,,,, $-   
,,22.5,16,23/08/2016,PILAS AA,,,, $-   
,,24,16,23/08/2016,PILA AAA,,,, $-   
,,9.9,16,23/08/2016,TERMOMETRO ORAL CLINICO MERCURIAL,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,9,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
